fighter,lore,cluster,fighting_style
SHANA DOBSON,"Hailing from a small town, SHANA DOBSON grew up competing in underground circuits before making it to the big stage. SHANA DOBSON brings a high-volume striking attack to every fight, throwing over 9.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
SHANE BURGOS,"Hailing from a small town, SHANE BURGOS grew up competing in underground circuits before making it to the big stage. In the octagon, SHANE BURGOS is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 39.5 significant strikes per minute with deadly accuracy.",9,
SHANE CAMPBELL,"Hailing from a small town, SHANE CAMPBELL grew up competing in underground circuits before making it to the big stage. As a versatile fighter, SHANE CAMPBELL maintains constant pressure with over 8.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
SHANE CARWIN,"With roots in their homeland, SHANE CARWIN defied expectations to become a force in the octagon. SHANE CARWIN brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
SHANE ROLLER,"From humble origins, SHANE ROLLER earned every opportunity on their journey to the UFC. SHANE ROLLER brings a high-volume striking attack to every fight, throwing over 6.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
SHANE YOUNG,"From humble origins, SHANE YOUNG earned every opportunity on their journey to the UFC. SHANE YOUNG brings a high-volume striking attack to every fight, throwing over 11.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
SHANNON GUGERTY,"With roots in their homeland, SHANNON GUGERTY defied expectations to become a force in the octagon. SHANNON GUGERTY excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 72% control time and 53% takedown accuracy, suffocating opponents with pressure and technique.",8,
SHAVKAT RAKHMONOV,"Born in the tough streets of their homeland, SHAVKAT RAKHMONOV discovered fighting as an escape from adversity. In the octagon, SHAVKAT RAKHMONOV is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 8.6 significant strikes per minute with deadly accuracy.",1,
SHAWN JORDAN,"From humble origins, SHAWN JORDAN earned every opportunity on their journey to the UFC. SHAWN JORDAN brings a high-volume striking attack to every fight, throwing over 9.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
SHAYILAN NUERDANBIEKE,"From humble origins, SHAYILAN NUERDANBIEKE earned every opportunity on their journey to the UFC. SHAYILAN NUERDANBIEKE brings a high-volume striking attack to every fight, throwing over 11.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
SHEYMON MORAES,"Born in the tough streets of their homeland, SHEYMON MORAES discovered fighting as an escape from adversity. SHEYMON MORAES brings a high-volume striking attack to every fight, throwing over 7.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
SHONIE CARTER,"Born in the tough streets of their homeland, SHONIE CARTER discovered fighting as an escape from adversity. SHONIE CARTER brings a high-volume striking attack to every fight, throwing over 4.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
SIJARA EUBANKS,"With roots in their homeland, SIJARA EUBANKS defied expectations to become a force in the octagon. SIJARA EUBANKS brings a high-volume striking attack to every fight, throwing over 13.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
SIYAR BAHADURZADA,"Born in the tough streets of their homeland, SIYAR BAHADURZADA discovered fighting as an escape from adversity. SIYAR BAHADURZADA brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
SOA PALELEI,"Hailing from a small town, SOA PALELEI grew up competing in underground circuits before making it to the big stage. In the octagon, SOA PALELEI is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.6 significant strikes per minute with deadly accuracy.",1,
SODIQ YUSUFF,"Born in the tough streets of their homeland, SODIQ YUSUFF discovered fighting as an escape from adversity. As a versatile fighter, SODIQ YUSUFF maintains constant pressure with over 13.9 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
SONG KENAN,"From humble origins, SONG KENAN earned every opportunity on their journey to the UFC. In the octagon, SONG KENAN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.7 significant strikes per minute with deadly accuracy.",4,
SONG YADONG,"From humble origins, SONG YADONG earned every opportunity on their journey to the UFC. SONG YADONG brings a high-volume striking attack to every fight, throwing over 18.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
SPENCER FISHER,"Born in the tough streets of their homeland, SPENCER FISHER discovered fighting as an escape from adversity. SPENCER FISHER brings a high-volume striking attack to every fight, throwing over 8.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
STEFAN STRUVE,"From humble origins, STEFAN STRUVE earned every opportunity on their journey to the UFC. STEFAN STRUVE brings a high-volume striking attack to every fight, throwing over 9.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
STEPHAN BONNAR,"From humble origins, STEPHAN BONNAR earned every opportunity on their journey to the UFC. STEPHAN BONNAR brings a high-volume striking attack to every fight, throwing over 8.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
STEPHANIE EGGER,"Hailing from a small town, STEPHANIE EGGER grew up competing in underground circuits before making it to the big stage. In the octagon, STEPHANIE EGGER is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 5.4 significant strikes per minute with deadly accuracy.",1,
STEPHEN THOMPSON,"Hailing from a small town, STEPHEN THOMPSON grew up competing in underground circuits before making it to the big stage. STEPHEN THOMPSON brings a high-volume striking attack to every fight, throwing over 13.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
STEVE CANTWELL,"From humble origins, STEVE CANTWELL earned every opportunity on their journey to the UFC. STEVE CANTWELL brings a high-volume striking attack to every fight, throwing over 8.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
STEVE ERCEG,"From humble origins, STEVE ERCEG earned every opportunity on their journey to the UFC. STEVE ERCEG brings a high-volume striking attack to every fight, throwing over 25.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
STEVE GARCIA,"Hailing from a small town, STEVE GARCIA grew up competing in underground circuits before making it to the big stage. In the octagon, STEVE GARCIA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 14.9 significant strikes per minute with deadly accuracy.",1,
STEVEN PETERSON,"Born in the tough streets of their homeland, STEVEN PETERSON discovered fighting as an escape from adversity. STEVEN PETERSON brings a high-volume striking attack to every fight, throwing over 15.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
STEVEN SILER,"Born in the tough streets of their homeland, STEVEN SILER discovered fighting as an escape from adversity. STEVEN SILER brings a high-volume striking attack to every fight, throwing over 8.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
STEVIE RAY,"Born in the tough streets of their homeland, STEVIE RAY discovered fighting as an escape from adversity. STEVIE RAY brings a high-volume striking attack to every fight, throwing over 9.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
STIPE MIOCIC,"Hailing from a small town, STIPE MIOCIC grew up competing in underground circuits before making it to the big stage. In the octagon, STIPE MIOCIC is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.4 significant strikes per minute with deadly accuracy.",8,
SUMUDAERJI,"From humble origins, SUMUDAERJI earned every opportunity on their journey to the UFC. In the octagon, SUMUDAERJI is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.4 significant strikes per minute with deadly accuracy.",2,
TABATHA RICCI,"From humble origins, TABATHA RICCI earned every opportunity on their journey to the UFC. TABATHA RICCI brings a high-volume striking attack to every fight, throwing over 13.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TAE HYUN BANG,"Born in the tough streets of their homeland, TAE HYUN BANG discovered fighting as an escape from adversity. TAE HYUN BANG brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
TAFON NCHUKWI,"From humble origins, TAFON NCHUKWI earned every opportunity on their journey to the UFC. As a versatile fighter, TAFON NCHUKWI maintains constant pressure with over 21.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
TAGIR ULANBEKOV,"From humble origins, TAGIR ULANBEKOV earned every opportunity on their journey to the UFC. TAGIR ULANBEKOV brings a high-volume striking attack to every fight, throwing over 7.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
TAI TUIVASA,"With roots in their homeland, TAI TUIVASA defied expectations to become a force in the octagon. As a versatile fighter, TAI TUIVASA maintains constant pressure with over 13.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
TAILA SANTOS,"From humble origins, TAILA SANTOS earned every opportunity on their journey to the UFC. TAILA SANTOS brings a high-volume striking attack to every fight, throwing over 9.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TAKANORI GOMI,"With roots in their homeland, TAKANORI GOMI defied expectations to become a force in the octagon. TAKANORI GOMI brings a high-volume striking attack to every fight, throwing over 7.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
TAKASHI SATO,"From humble origins, TAKASHI SATO earned every opportunity on their journey to the UFC. TAKASHI SATO brings a high-volume striking attack to every fight, throwing over 10.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
TAKEYA MIZUGAKI,"From humble origins, TAKEYA MIZUGAKI earned every opportunity on their journey to the UFC. TAKEYA MIZUGAKI brings a high-volume striking attack to every fight, throwing over 9.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
TAMDAN MCCRORY,"Hailing from a small town, TAMDAN MCCRORY grew up competing in underground circuits before making it to the big stage. TAMDAN MCCRORY brings a high-volume striking attack to every fight, throwing over 4.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
TANNER BOSER,"With roots in their homeland, TANNER BOSER defied expectations to become a force in the octagon. As a versatile fighter, TANNER BOSER maintains constant pressure with over 12.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
TAREC SAFFIEDINE,"Born in the tough streets of their homeland, TAREC SAFFIEDINE discovered fighting as an escape from adversity. TAREC SAFFIEDINE brings a high-volume striking attack to every fight, throwing over 15.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
TATIANA SUAREZ,"From humble origins, TATIANA SUAREZ earned every opportunity on their journey to the UFC. As a versatile fighter, TATIANA SUAREZ maintains constant pressure with over 10.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",5,
TATSURO TAIRA,"From humble origins, TATSURO TAIRA earned every opportunity on their journey to the UFC. In the octagon, TATSURO TAIRA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 12.0 significant strikes per minute with deadly accuracy.",5,
TATSUYA KAWAJIRI,"Born in the tough streets of their homeland, TATSUYA KAWAJIRI discovered fighting as an escape from adversity. In the octagon, TATSUYA KAWAJIRI is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.9 significant strikes per minute with deadly accuracy.",5,
TAYLOR LAPILUS,"With roots in their homeland, TAYLOR LAPILUS defied expectations to become a force in the octagon. TAYLOR LAPILUS brings a high-volume striking attack to every fight, throwing over 14.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
TECIA PENNINGTON,"Born in the tough streets of their homeland, TECIA PENNINGTON discovered fighting as an escape from adversity. TECIA PENNINGTON brings a high-volume striking attack to every fight, throwing over 14.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
TERRANCE MCKINNEY,"Born in the tough streets of their homeland, TERRANCE MCKINNEY discovered fighting as an escape from adversity. In the octagon, TERRANCE MCKINNEY is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.3 significant strikes per minute with deadly accuracy.",1,
TERRY ETIM,"With roots in their homeland, TERRY ETIM defied expectations to become a force in the octagon. TERRY ETIM brings a high-volume striking attack to every fight, throwing over 17.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
TERRY MARTIN,"Hailing from a small town, TERRY MARTIN grew up competing in underground circuits before making it to the big stage. In the octagon, TERRY MARTIN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 21.3 significant strikes per minute with deadly accuracy.",5,
TERUTO ISHIHARA,"Born in the tough streets of their homeland, TERUTO ISHIHARA discovered fighting as an escape from adversity. TERUTO ISHIHARA brings a high-volume striking attack to every fight, throwing over 11.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
THALES LEITES,"From humble origins, THALES LEITES earned every opportunity on their journey to the UFC. THALES LEITES brings a high-volume striking attack to every fight, throwing over 8.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
THEMBA GORIMBO,"From humble origins, THEMBA GORIMBO earned every opportunity on their journey to the UFC. As a versatile fighter, THEMBA GORIMBO maintains constant pressure with over 11.0 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
THIAGO ALVES,"With roots in their homeland, THIAGO ALVES defied expectations to become a force in the octagon. THIAGO ALVES brings a high-volume striking attack to every fight, throwing over 12.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
THIAGO MOISES,"With roots in their homeland, THIAGO MOISES defied expectations to become a force in the octagon. THIAGO MOISES brings a high-volume striking attack to every fight, throwing over 12.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
THIAGO SANTOS,"From humble origins, THIAGO SANTOS earned every opportunity on their journey to the UFC. THIAGO SANTOS brings a high-volume striking attack to every fight, throwing over 17.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
THIAGO SILVA,"From humble origins, THIAGO SILVA earned every opportunity on their journey to the UFC. As a versatile fighter, THIAGO SILVA maintains constant pressure with over 7.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
THIAGO TAVARES,"Born in the tough streets of their homeland, THIAGO TAVARES discovered fighting as an escape from adversity. THIAGO TAVARES brings a high-volume striking attack to every fight, throwing over 4.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
THIBAULT GOUTI,"With roots in their homeland, THIBAULT GOUTI defied expectations to become a force in the octagon. THIBAULT GOUTI brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
THOMAS ALMEIDA,"With roots in their homeland, THOMAS ALMEIDA defied expectations to become a force in the octagon. THOMAS ALMEIDA brings a high-volume striking attack to every fight, throwing over 15.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
TIM BOETSCH,"Born in the tough streets of their homeland, TIM BOETSCH discovered fighting as an escape from adversity. As a versatile fighter, TIM BOETSCH maintains constant pressure with over 10.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
TIM CREDEUR,"Born in the tough streets of their homeland, TIM CREDEUR discovered fighting as an escape from adversity. TIM CREDEUR brings a high-volume striking attack to every fight, throwing over 8.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
TIM ELLIOTT,"Hailing from a small town, TIM ELLIOTT grew up competing in underground circuits before making it to the big stage. TIM ELLIOTT brings a high-volume striking attack to every fight, throwing over 9.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TIM HAGUE,"Hailing from a small town, TIM HAGUE grew up competing in underground circuits before making it to the big stage. TIM HAGUE excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 40% control time and 57% takedown accuracy, suffocating opponents with pressure and technique.",0,
TIM KENNEDY,"From humble origins, TIM KENNEDY earned every opportunity on their journey to the UFC. TIM KENNEDY brings a high-volume striking attack to every fight, throwing over 14.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TIM MEANS,"Hailing from a small town, TIM MEANS grew up competing in underground circuits before making it to the big stage. TIM MEANS brings a high-volume striking attack to every fight, throwing over 18.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
TIM SYLVIA,"Born in the tough streets of their homeland, TIM SYLVIA discovered fighting as an escape from adversity. TIM SYLVIA brings a high-volume striking attack to every fight, throwing over 15.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
TIMOTHY JOHNSON,"Born in the tough streets of their homeland, TIMOTHY JOHNSON discovered fighting as an escape from adversity. TIMOTHY JOHNSON brings a high-volume striking attack to every fight, throwing over 8.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TITO ORTIZ,"Hailing from a small town, TITO ORTIZ grew up competing in underground circuits before making it to the big stage. In the octagon, TITO ORTIZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 8.9 significant strikes per minute with deadly accuracy.",5,
TJ BROWN,"Born in the tough streets of their homeland, TJ BROWN discovered fighting as an escape from adversity. TJ BROWN brings a high-volume striking attack to every fight, throwing over 11.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
TJ DILLASHAW,"With roots in their homeland, TJ DILLASHAW defied expectations to become a force in the octagon. TJ DILLASHAW brings a high-volume striking attack to every fight, throwing over 29.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
TJ GRANT,"With roots in their homeland, TJ GRANT defied expectations to become a force in the octagon. As a versatile fighter, TJ GRANT maintains constant pressure with over 10.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
TJ WALDBURGER,"Born in the tough streets of their homeland, TJ WALDBURGER discovered fighting as an escape from adversity. As a versatile fighter, TJ WALDBURGER maintains constant pressure with over 5.0 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
TODD DUFFEE,"From humble origins, TODD DUFFEE earned every opportunity on their journey to the UFC. In the octagon, TODD DUFFEE is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 17.1 significant strikes per minute with deadly accuracy.",4,
TOM ASPINALL,"Hailing from a small town, TOM ASPINALL grew up competing in underground circuits before making it to the big stage. In the octagon, TOM ASPINALL is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 12.8 significant strikes per minute with deadly accuracy.",1,
TOM BREESE,"Born in the tough streets of their homeland, TOM BREESE discovered fighting as an escape from adversity. As a versatile fighter, TOM BREESE maintains constant pressure with over 5.9 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
TOM LAWLOR,"Hailing from a small town, TOM LAWLOR grew up competing in underground circuits before making it to the big stage. TOM LAWLOR brings a high-volume striking attack to every fight, throwing over 10.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
TOM WATSON,"Hailing from a small town, TOM WATSON grew up competing in underground circuits before making it to the big stage. TOM WATSON brings a high-volume striking attack to every fight, throwing over 11.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
TOMASZ DRWAL,"With roots in their homeland, TOMASZ DRWAL defied expectations to become a force in the octagon. TOMASZ DRWAL brings a high-volume striking attack to every fight, throwing over 9.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
TONY DESOUZA,"Hailing from a small town, TONY DESOUZA grew up competing in underground circuits before making it to the big stage. TONY DESOUZA excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 74% control time and 67% takedown accuracy, suffocating opponents with pressure and technique.",1,
TONY FERGUSON,"From humble origins, TONY FERGUSON earned every opportunity on their journey to the UFC. TONY FERGUSON brings a high-volume striking attack to every fight, throwing over 16.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
TONY GRAVELY,"Hailing from a small town, TONY GRAVELY grew up competing in underground circuits before making it to the big stage. TONY GRAVELY brings a high-volume striking attack to every fight, throwing over 12.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
TRA TELLIGMAN,"From humble origins, TRA TELLIGMAN earned every opportunity on their journey to the UFC. TRA TELLIGMAN fights as a versatile fighter with a diverse striking arsenal, mixing punches and kicks effectively while maintaining distance and control.",4,
TRACY CORTEZ,"From humble origins, TRACY CORTEZ earned every opportunity on their journey to the UFC. TRACY CORTEZ brings a high-volume striking attack to every fight, throwing over 12.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TRAVIS BROWNE,"Born in the tough streets of their homeland, TRAVIS BROWNE discovered fighting as an escape from adversity. TRAVIS BROWNE brings a high-volume striking attack to every fight, throwing over 6.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
TRAVIS LUTTER,"From humble origins, TRAVIS LUTTER earned every opportunity on their journey to the UFC. TRAVIS LUTTER excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 87% control time and 37% takedown accuracy, suffocating opponents with pressure and technique.",8,
TREVIN GILES,"Born in the tough streets of their homeland, TREVIN GILES discovered fighting as an escape from adversity. In the octagon, TREVIN GILES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.0 significant strikes per minute with deadly accuracy.",8,
TREVIN JONES,"Born in the tough streets of their homeland, TREVIN JONES discovered fighting as an escape from adversity. TREVIN JONES brings a high-volume striking attack to every fight, throwing over 10.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
TREVOR PEEK,"Hailing from a small town, TREVOR PEEK grew up competing in underground circuits before making it to the big stage. As a versatile fighter, TREVOR PEEK maintains constant pressure with over 10.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
TREVOR SMITH,"With roots in their homeland, TREVOR SMITH defied expectations to become a force in the octagon. As a versatile fighter, TREVOR SMITH maintains constant pressure with over 9.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
TREY OGDEN,"From humble origins, TREY OGDEN earned every opportunity on their journey to the UFC. TREY OGDEN brings a high-volume striking attack to every fight, throwing over 8.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
TSUYOSHI KOHSAKA,"From humble origins, TSUYOSHI KOHSAKA earned every opportunity on their journey to the UFC. As a versatile fighter, TSUYOSHI KOHSAKA maintains constant pressure with over 7.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
TYRON WOODLEY,"Born in the tough streets of their homeland, TYRON WOODLEY discovered fighting as an escape from adversity. As a versatile fighter, TYRON WOODLEY maintains constant pressure with over 10.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
TYSON GRIFFIN,"Hailing from a small town, TYSON GRIFFIN grew up competing in underground circuits before making it to the big stage. TYSON GRIFFIN brings a high-volume striking attack to every fight, throwing over 9.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
TYSON NAM,"Hailing from a small town, TYSON NAM grew up competing in underground circuits before making it to the big stage. TYSON NAM brings a high-volume striking attack to every fight, throwing over 15.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
TYSON PEDRO,"Born in the tough streets of their homeland, TYSON PEDRO discovered fighting as an escape from adversity. As a versatile fighter, TYSON PEDRO maintains constant pressure with over 8.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
UMAR NURMAGOMEDOV,"Hailing from a small town, UMAR NURMAGOMEDOV grew up competing in underground circuits before making it to the big stage. In the octagon, UMAR NURMAGOMEDOV is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.4 significant strikes per minute with deadly accuracy.",5,
URIAH HALL,"Born in the tough streets of their homeland, URIAH HALL discovered fighting as an escape from adversity. As a versatile fighter, URIAH HALL maintains constant pressure with over 12.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
URIJAH FABER,"Born in the tough streets of their homeland, URIJAH FABER discovered fighting as an escape from adversity. URIJAH FABER brings a high-volume striking attack to every fight, throwing over 12.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
UROS MEDIC,"From humble origins, UROS MEDIC earned every opportunity on their journey to the UFC. In the octagon, UROS MEDIC is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 12.8 significant strikes per minute with deadly accuracy.",2,
VALENTINA SHEVCHENKO,"From humble origins, VALENTINA SHEVCHENKO earned every opportunity on their journey to the UFC. In the octagon, VALENTINA SHEVCHENKO is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.1 significant strikes per minute with deadly accuracy.",5,
VALERIE LETOURNEAU,"Hailing from a small town, VALERIE LETOURNEAU grew up competing in underground circuits before making it to the big stage. VALERIE LETOURNEAU brings a high-volume striking attack to every fight, throwing over 16.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
VANESSA DEMOPOULOS,"From humble origins, VANESSA DEMOPOULOS earned every opportunity on their journey to the UFC. VANESSA DEMOPOULOS brings a high-volume striking attack to every fight, throwing over 10.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
VAUGHAN LEE,"Born in the tough streets of their homeland, VAUGHAN LEE discovered fighting as an escape from adversity. As a versatile fighter, VAUGHAN LEE maintains constant pressure with over 8.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
VERONICA HARDY,"Hailing from a small town, VERONICA HARDY grew up competing in underground circuits before making it to the big stage. As a versatile fighter, VERONICA HARDY maintains constant pressure with over 8.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
VIACHESLAV BORSHCHEV,"Born in the tough streets of their homeland, VIACHESLAV BORSHCHEV discovered fighting as an escape from adversity. VIACHESLAV BORSHCHEV brings a high-volume striking attack to every fight, throwing over 11.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
VICENTE LUQUE,"With roots in their homeland, VICENTE LUQUE defied expectations to become a force in the octagon. As a versatile fighter, VICENTE LUQUE maintains constant pressure with over 13.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
VICTOR ALTAMIRANO,"From humble origins, VICTOR ALTAMIRANO earned every opportunity on their journey to the UFC. As a versatile fighter, VICTOR ALTAMIRANO maintains constant pressure with over 11.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
VICTORIA LEONARDO,"Born in the tough streets of their homeland, VICTORIA LEONARDO discovered fighting as an escape from adversity. VICTORIA LEONARDO brings a high-volume striking attack to every fight, throwing over 4.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
VIKTOR PESTA,"From humble origins, VIKTOR PESTA earned every opportunity on their journey to the UFC. VIKTOR PESTA brings a high-volume striking attack to every fight, throwing over 4.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
